id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest;
"1439447411814846465,1439442778971246592,2021-09-19 11:33:01 SE Asia Standard Time,2021-09-19,11:33:01,700,1420930801420496901,rachman59387925,Rachman,,@republikaonline PDIP tolak Jokowi 3periode.. maunya 4 periode yah..tobat..tobat...,in,[],[],[],0,0,0,[],[],https://twitter.com/Rachman59387925/status/1439447411814846465,False,,0,,,,,,,,""[{'screen_name': 'republikaonline', 'name': 'Republika.co.id', 'id': '22126902'}]"",,,,";
1439430348257984517,1439430348257984512,2021-09-19 10:25:13 SE Asia Standard Time,2021-09-19,10:25:13,700,1314092306,koalisinetizen,Koalisi Netizen,,Presiden Jokowi enggan 3Periode  https://t.co/CHDC9314eZ,in,[],[],['https://pbs.twimg.com/media/E_niRNdUYAMWhNl.jpg'],0,3,2,[],[],https://twitter.com/KoalisiNetizen/status/1439430348257984517,False,,1,https://pbs.twimg.com/media/E_niRNdUYAMWhNl.jpg,,,,,,,[],,,,;
"1439410995328212994,1439410995328212992,2021-09-19 09:08:18 SE Asia Standard Time,2021-09-19,09:08:18,700,1250595192,dahlanmahmud,#DM#,,""Penolakan PDIP menghindari polemik dipublik, biarlah waktu yg akan memproses, istilah """"buah belum matang, tapi disodok2 terus akhirnya jadi busuk"""" begitu juga jika dipolitisasi terus masalah 3periode, maka energi bangsa ini terkuras, sedangkan pilpres masih jauh, realistis saja."",in,[],[],[],0,0,0,[],[],https://twitter.com/DahlanMahmud/status/1439410995328212994,False,https://twitter.com/PutraWadapi/status/1439391529559224322,0,,,,,,,,[],,,,";
"1439260946250174467,1439180526112296960,2021-09-18 23:12:04 SE Asia Standard Time,2021-09-18,23:12:04,700,1355436575304396800,cappucinondeso,🅰️HLI 🅿️IKIR🇮🇩,,@ChusnulCh__ @Ronggolawe02 mereka sdh yakin rakyat menolak Presiden 3Periode.tapi mereka jg ketakutan bahkan akan turun kejalan kalau Presiden 3Periode.nah....yg milih presiden kan Rakyat/masyarakat bukan KADER2 demokrat. sdh yakini saja kalau Rakyat menolak 3periode yaaa,in,[],[],[],0,0,0,[],[],https://twitter.com/CappucinoNdeso/status/1439260946250174467,False,,0,,,,,,,,""[{'screen_name': 'ChusnulCh__', 'name': 'IG chchotimah 🇮🇩', 'id': '2928583759'}, {'screen_name': 'Ronggolawe02', 'name': '𝓡𝓸𝓷𝓰𝓰𝓸𝓵𝓪𝔀𝓮', 'id': '1210412187988029440'}]"",,,,";
"1439228299406766080,1439180526112296960,2021-09-18 21:02:20 SE Asia Standard Time,2021-09-18,21:02:20,700,1264865648686936066,sarpan2000,donny IRAWAN,,""@ChusnulCh__ Mereka bikin isu 3periode sendiri, di up sendiri, kemudian disumpahin sendiri. Untung nggak masuk RS jiwa 😁😁😁"",in,[],[],[],0,0,1,[],[],https://twitter.com/sarpan2000/status/1439228299406766080,False,,0,,,,,,,,""[{'screen_name': 'ChusnulCh__', 'name': 'Chusnul ch💕timah', 'id': '2928583759'}]"",,,,";
"1439204308273156096,1439076190262738944,2021-09-18 19:27:00 SE Asia Standard Time,2021-09-18,19:27:00,700,2948119393,4byunus,A. B. Yunus,,@panca66 @ronavioleta Kalo saya percaya...........dia mau 3periode😃😄😀😀,in,[],[],[],0,0,0,[],[],https://twitter.com/4byunus/status/1439204308273156096,False,,0,,,,,,,,""[{'screen_name': 'panca66', 'name': '#RepublikDagelan', 'id': '82042655'}, {'screen_name': 'ronavioleta', 'name': 'Nana', 'id': '485385284'}]"",,,,";
"1439197506420674566,1439160907544727552,2021-09-18 18:59:59 SE Asia Standard Time,2021-09-18,18:59:59,700,851639719121231872,noormuzani,muzani noor,,""@budiwidagdo2 @merdekadotcom Mungkin karena tahu warna duit, keluar pernyataan belio presiden 3periode td bertentangandng fikih"",in,[],[],[],0,0,0,[],[],https://twitter.com/NoorMuzani/status/1439197506420674566,False,,0,,,,,,,,""[{'screen_name': 'budiwidagdo2', 'name': '#berusaha jujur dan lurus', 'id': '971046093331943424'}, {'screen_name': 'merdekadotcom', 'name': 'Merdeka.com', 'id': '456426648'}]"",,,,";
"1439184779711111169,1439100706888159232,2021-09-18 18:09:24 SE Asia Standard Time,2021-09-18,18:09:24,700,99226297,affandi13,🇮🇩®️Z1️⃣3️⃣🇮🇩,,@RamliRizal @msaid_didu @PDI_Perjuangan Biarpun Nggk 3Periode ..org nggk akan pilih anda @RamliRizal ... 😁😁,in,""[{'screen_name': 'ramlirizal', 'name': 'dr. rizal ramli', 'id': '452992293'}]"",[],[],0,0,1,[],[],https://twitter.com/Affandi13/status/1439184779711111169,False,,0,,,,,,,,""[{'screen_name': 'RamliRizal', 'name': 'Dr. Rizal Ramli', 'id': '452992293'}, {'screen_name': 'msaid_didu', 'name': 'Muhammad Said Didu', 'id': '1117990249806721024'}, {'screen_name': 'PDI_Perjuangan', 'name': 'PDI Perjuangan', 'id': '153407983'}]"",,,,";
"1439177571216683010,1439175551093141504,2021-09-18 17:40:46 SE Asia Standard Time,2021-09-18,17:40:46,700,1002886614190657537,anugrahbudi4,ANUGRAH,,""@_RestyCayah Yg penting 3periode kandas dulu jang,,,,,anak emak tinggal potong bebek angsa"",in,[],[],[],0,0,1,[],[],https://twitter.com/AnugrahBudi4/status/1439177571216683010,False,,0,,,,,,,,""[{'screen_name': '_RestyCayah', 'name': 'Negri Seterah', 'id': '1423276591761661957'}]"",,,,";
"1439154649898971137,1439154649898971136,2021-09-18 16:09:41 SE Asia Standard Time,2021-09-18,16:09:41,700,1417472445250822144,dhufathink,Dhufa Think,,""menunggu dapat  tawaran jabatan apa gitu,gaung kan terus president 3periode eleeeh,kok media masih beri panggung  ,bingung gue,jelas ide itu melanggar konstitusi,....."",in,[],[],[],0,0,0,[],[],https://twitter.com/DhufaThink/status/1439154649898971137,False,https://twitter.com/anggasasongko/status/1438867475706249217,0,,,,,,,,[],,,,";
